Nazionalità;Maschi;Femmine;Totale
AFGHANA(301);25;;25
ALBANESE(201);27;29;28
ALGERINA(401);37;22;33
ARGENTINA(602);13;33;28
ARMENA(358);25;26;25
AUSTRALIANA(701);39;;39
BANGLADESH(305);27;24;26
BELGA(206);28;42;32
BIELORUSSA(208);;36;36
BOLIVIANA(604);41;20;25
BOSNIA-ERZEGOVINA(252);44;38;40
BRASILIANA(605);24;35;32
BRITANNICA(219);48;62;51
BULGARA(209);35;38;36
CAMERUNESE(411);45;30;33
CANADESE(509);34;28;31
CECA(257);;32;32
CIAD(415);36;45;39
CINESE(313);;31;31
CINESE(314);28;24;26
CIPRIOTA(315);;30;30
COLOMBIANA(608);28;30;29
COREA DEL SUD(320);;40;40
COSTA D'AVORIO(404);31;34;32
CROATA(250);52;55;53
CUBANA(514);52;33;39
DANESE(212);41;;41
DOMINICA(515);;29;29
DOMINICANA(516);38;31;33
ECUADOREGNA(609);21;22;21
EGIZIANA(419);29;25;27
ERITREA(466);43;;43
FILIPPINA(323);29;32;31
FRANCESE(215);40;31;36
GEORGIA(360);;38;38
GERMANICA(216);44;40;41
GHANESE(423);;47;47
GIAPPONESE(326);38;44;43
GIORDANA(327);37;8;29
GRECA(220);57;53;55
GUINEA(425);26;22;25
IGNOTA(998);;45;45
INDIANA(330);24;23;24
IRACHENA(333);28;83;42
IRANIANA(332);43;30;37
JUGOSLAVA(224);20;31;24
KOSOVARA(272);26;26;26
LIBANESE(337);36;47;38
LIBERIANA(430);40;;40
MACEDONE(253);27;23;25
MADAGASCAR(432);;30;30
MALI(435);;37;37
MAROCCHINA(436);27;29;28
MAURIZIANA(438);14;39;34
MESSICANA(527);40;;40
MOLDOVA(254);26;34;32
NEOZELANDESE(719);;52;52
NEPAL(342);28;24;26
NIGERIANA(443);22;25;23
NORVEGESE(231);;46;46
OLANDESE(232);;36;36
PAKISTANA(344);33;19;25
PANAMENSE(530);;72;72
PERUVIANA(615);36;36;36
POLACCA(233);;40;40
PORTOGHESE(234);;25;25
RUMENA(235);32;35;33
RUSSA(245);;40;40
SENEGALESE(450);36;22;34
SERBA(271);29;26;27
SIERRA LEONE(451);37;28;34
SIRIANA(348);20;34;23
SLOVACCA(255);;36;36
SPAGNOLA(239);58;32;39
SRI LANKA(311);26;31;28
SVEDESE(240);44;;44
TAILANDESE(349);;44;44
TUNISINA(460);29;18;24
TURCA(351);27;22;25
UCRAINA(243);38;47;46
UNGHERESE(244);;31;31
VENEZUELANA(619);;31;31
